PDMS_fraction,CdO_fraction,B4C_fraction,Gd2O3_fraction,Composition_Formula,Theoretical_Density,Density_Calculation
89,0,5,6,89C2H6OSi+0CdO+5B4C+6Gd2O3,1.42945,(89 * 0.965) + (0 * 8.15) + (5 * 2.52) + (6 * 7.41) / 100
88,0,5,7,88C2H6OSi+0CdO+5B4C+7Gd2O3,1.4939,(88 * 0.965) + (0 * 8.15) + (5 * 2.52) + (7 * 7.41) / 100
87,0,5,8,87C2H6OSi+0CdO+5B4C+8Gd2O3,1.55835,(87 * 0.965) + (0 * 8.15) + (5 * 2.52) + (8 * 7.41) / 100
86,0,5,9,86C2H6OSi+0CdO+5B4C+9Gd2O3,1.6228,(86 * 0.965) + (0 * 8.15) + (5 * 2.52) + (9 * 7.41) / 100
85,0,5,10,85C2H6OSi+0CdO+5B4C+10Gd2O3,1.68725,(85 * 0.965) + (0 * 8.15) + (5 * 2.52) + (10 * 7.41) / 100
84,0,5,11,84C2H6OSi+0CdO+5B4C+11Gd2O3,1.7517,(84 * 0.965) + (0 * 8.15) + (5 * 2.52) + (11 * 7.41) / 100
83,0,5,12,83C2H6OSi+0CdO+5B4C+12Gd2O3,1.81615,(83 * 0.965) + (0 * 8.15) + (5 * 2.52) + (12 * 7.41) / 100
82,0,5,13,82C2H6OSi+0CdO+5B4C+13Gd2O3,1.8806,(82 * 0.965) + (0 * 8.15) + (5 * 2.52) + (13 * 7.41) / 100
81,0,5,14,81C2H6OSi+0CdO+5B4C+14Gd2O3,1.94505,(81 * 0.965) + (0 * 8.15) + (5 * 2.52) + (14 * 7.41) / 100
80,0,5,15,80C2H6OSi+0CdO+5B4C+15Gd2O3,2.0095,(80 * 0.965) + (0 * 8.15) + (5 * 2.52) + (15 * 7.41) / 100
94,0,6,0,94C2H6OSi+0CdO+6B4C+0Gd2O3,1.0583,(94 * 0.965) + (0 * 8.15) + (6 * 2.52) + (0 * 7.41) / 100
93,0,6,1,93C2H6OSi+0CdO+6B4C+1Gd2O3,1.12275,(93 * 0.965) + (0 * 8.15) + (6 * 2.52) + (1 * 7.41) / 100
92,0,6,2,92C2H6OSi+0CdO+6B4C+2Gd2O3,1.1872,(92 * 0.965) + (0 * 8.15) + (6 * 2.52) + (2 * 7.41) / 100
91,0,6,3,91C2H6OSi+0CdO+6B4C+3Gd2O3,1.25165,(91 * 0.965) + (0 * 8.15) + (6 * 2.52) + (3 * 7.41) / 100
90,0,6,4,90C2H6OSi+0CdO+6B4C+4Gd2O3,1.3161,(90 * 0.965) + (0 * 8.15) + (6 * 2.52) + (4 * 7.41) / 100
89,0,6,5,89C2H6OSi+0CdO+6B4C+5Gd2O3,1.38055,(89 * 0.965) + (0 * 8.15) + (6 * 2.52) + (5 * 7.41) / 100
88,0,6,6,88C2H6OSi+0CdO+6B4C+6Gd2O3,1.445,(88 * 0.965) + (0 * 8.15) + (6 * 2.52) + (6 * 7.41) / 100
87,0,6,7,87C2H6OSi+0CdO+6B4C+7Gd2O3,1.50945,(87 * 0.965) + (0 * 8.15) + (6 * 2.52) + (7 * 7.41) / 100
86,0,6,8,86C2H6OSi+0CdO+6B4C+8Gd2O3,1.5739,(86 * 0.965) + (0 * 8.15) + (6 * 2.52) + (8 * 7.41) / 100
85,0,6,9,85C2H6OSi+0CdO+6B4C+9Gd2O3,1.63835,(85 * 0.965) + (0 * 8.15) + (6 * 2.52) + (9 * 7.41) / 100
84,0,6,10,84C2H6OSi+0CdO+6B4C+10Gd2O3,1.7028,(84 * 0.965) + (0 * 8.15) + (6 * 2.52) + (10 * 7.41) / 100
83,0,6,11,83C2H6OSi+0CdO+6B4C+11Gd2O3,1.76725,(83 * 0.965) + (0 * 8.15) + (6 * 2.52) + (11 * 7.41) / 100
82,0,6,12,82C2H6OSi+0CdO+6B4C+12Gd2O3,1.8317,(82 * 0.965) + (0 * 8.15) + (6 * 2.52) + (12 * 7.41) / 100
81,0,6,13,81C2H6OSi+0CdO+6B4C+13Gd2O3,1.89615,(81 * 0.965) + (0 * 8.15) + (6 * 2.52) + (13 * 7.41) / 100
80,0,6,14,80C2H6OSi+0CdO+6B4C+14Gd2O3,1.9606,(80 * 0.965) + (0 * 8.15) + (6 * 2.52) + (14 * 7.41) / 100
93,0,7,0,93C2H6OSi+0CdO+7B4C+0Gd2O3,1.07385,(93 * 0.965) + (0 * 8.15) + (7 * 2.52) + (0 * 7.41) / 100
92,0,7,1,92C2H6OSi+0CdO+7B4C+1Gd2O3,1.1383,(92 * 0.965) + (0 * 8.15) + (7 * 2.52) + (1 * 7.41) / 100
91,0,7,2,91C2H6OSi+0CdO+7B4C+2Gd2O3,1.20275,(91 * 0.965) + (0 * 8.15) + (7 * 2.52) + (2 * 7.41) / 100
