PDMS_fraction,CdO_fraction,B4C_fraction,Gd2O3_fraction,Composition_Formula,Theoretical_Density,Density_Calculation
96,2,0,2,96C2H6OSi+2CdO+0B4C+2Gd2O3,1.2376,(96 * 0.965) + (2 * 8.15) + (0 * 2.52) + (2 * 7.41) / 100
95,2,0,3,95C2H6OSi+2CdO+0B4C+3Gd2O3,1.30205,(95 * 0.965) + (2 * 8.15) + (0 * 2.52) + (3 * 7.41) / 100
94,2,0,4,94C2H6OSi+2CdO+0B4C+4Gd2O3,1.3665,(94 * 0.965) + (2 * 8.15) + (0 * 2.52) + (4 * 7.41) / 100
93,2,0,5,93C2H6OSi+2CdO+0B4C+5Gd2O3,1.43095,(93 * 0.965) + (2 * 8.15) + (0 * 2.52) + (5 * 7.41) / 100
92,2,0,6,92C2H6OSi+2CdO+0B4C+6Gd2O3,1.4954,(92 * 0.965) + (2 * 8.15) + (0 * 2.52) + (6 * 7.41) / 100
91,2,0,7,91C2H6OSi+2CdO+0B4C+7Gd2O3,1.55985,(91 * 0.965) + (2 * 8.15) + (0 * 2.52) + (7 * 7.41) / 100
90,2,0,8,90C2H6OSi+2CdO+0B4C+8Gd2O3,1.6243,(90 * 0.965) + (2 * 8.15) + (0 * 2.52) + (8 * 7.41) / 100
89,2,0,9,89C2H6OSi+2CdO+0B4C+9Gd2O3,1.68875,(89 * 0.965) + (2 * 8.15) + (0 * 2.52) + (9 * 7.41) / 100
88,2,0,10,88C2H6OSi+2CdO+0B4C+10Gd2O3,1.7532,(88 * 0.965) + (2 * 8.15) + (0 * 2.52) + (10 * 7.41) / 100
87,2,0,11,87C2H6OSi+2CdO+0B4C+11Gd2O3,1.81765,(87 * 0.965) + (2 * 8.15) + (0 * 2.52) + (11 * 7.41) / 100
86,2,0,12,86C2H6OSi+2CdO+0B4C+12Gd2O3,1.8821,(86 * 0.965) + (2 * 8.15) + (0 * 2.52) + (12 * 7.41) / 100
85,2,0,13,85C2H6OSi+2CdO+0B4C+13Gd2O3,1.94655,(85 * 0.965) + (2 * 8.15) + (0 * 2.52) + (13 * 7.41) / 100
84,2,0,14,84C2H6OSi+2CdO+0B4C+14Gd2O3,2.011,(84 * 0.965) + (2 * 8.15) + (0 * 2.52) + (14 * 7.41) / 100
83,2,0,15,83C2H6OSi+2CdO+0B4C+15Gd2O3,2.07545,(83 * 0.965) + (2 * 8.15) + (0 * 2.52) + (15 * 7.41) / 100
82,2,0,16,82C2H6OSi+2CdO+0B4C+16Gd2O3,2.1399,(82 * 0.965) + (2 * 8.15) + (0 * 2.52) + (16 * 7.41) / 100
81,2,0,17,81C2H6OSi+2CdO+0B4C+17Gd2O3,2.20435,(81 * 0.965) + (2 * 8.15) + (0 * 2.52) + (17 * 7.41) / 100
80,2,0,18,80C2H6OSi+2CdO+0B4C+18Gd2O3,2.2688,(80 * 0.965) + (2 * 8.15) + (0 * 2.52) + (18 * 7.41) / 100
97,2,1,0,97C2H6OSi+2CdO+1B4C+0Gd2O3,1.12425,(97 * 0.965) + (2 * 8.15) + (1 * 2.52) + (0 * 7.41) / 100
96,2,1,1,96C2H6OSi+2CdO+1B4C+1Gd2O3,1.1887,(96 * 0.965) + (2 * 8.15) + (1 * 2.52) + (1 * 7.41) / 100
95,2,1,2,95C2H6OSi+2CdO+1B4C+2Gd2O3,1.25315,(95 * 0.965) + (2 * 8.15) + (1 * 2.52) + (2 * 7.41) / 100
94,2,1,3,94C2H6OSi+2CdO+1B4C+3Gd2O3,1.3176,(94 * 0.965) + (2 * 8.15) + (1 * 2.52) + (3 * 7.41) / 100
93,2,1,4,93C2H6OSi+2CdO+1B4C+4Gd2O3,1.38205,(93 * 0.965) + (2 * 8.15) + (1 * 2.52) + (4 * 7.41) / 100
92,2,1,5,92C2H6OSi+2CdO+1B4C+5Gd2O3,1.4465,(92 * 0.965) + (2 * 8.15) + (1 * 2.52) + (5 * 7.41) / 100
91,2,1,6,91C2H6OSi+2CdO+1B4C+6Gd2O3,1.51095,(91 * 0.965) + (2 * 8.15) + (1 * 2.52) + (6 * 7.41) / 100
90,2,1,7,90C2H6OSi+2CdO+1B4C+7Gd2O3,1.5754,(90 * 0.965) + (2 * 8.15) + (1 * 2.52) + (7 * 7.41) / 100
89,2,1,8,89C2H6OSi+2CdO+1B4C+8Gd2O3,1.63985,(89 * 0.965) + (2 * 8.15) + (1 * 2.52) + (8 * 7.41) / 100
88,2,1,9,88C2H6OSi+2CdO+1B4C+9Gd2O3,1.7043,(88 * 0.965) + (2 * 8.15) + (1 * 2.52) + (9 * 7.41) / 100
87,2,1,10,87C2H6OSi+2CdO+1B4C+10Gd2O3,1.76875,(87 * 0.965) + (2 * 8.15) + (1 * 2.52) + (10 * 7.41) / 100
86,2,1,11,86C2H6OSi+2CdO+1B4C+11Gd2O3,1.8332,(86 * 0.965) + (2 * 8.15) + (1 * 2.52) + (11 * 7.41) / 100
85,2,1,12,85C2H6OSi+2CdO+1B4C+12Gd2O3,1.89765,(85 * 0.965) + (2 * 8.15) + (1 * 2.52) + (12 * 7.41) / 100
84,2,1,13,84C2H6OSi+2CdO+1B4C+13Gd2O3,1.9621,(84 * 0.965) + (2 * 8.15) + (1 * 2.52) + (13 * 7.41) / 100
83,2,1,14,83C2H6OSi+2CdO+1B4C+14Gd2O3,2.02655,(83 * 0.965) + (2 * 8.15) + (1 * 2.52) + (14 * 7.41) / 100
82,2,1,15,82C2H6OSi+2CdO+1B4C+15Gd2O3,2.091,(82 * 0.965) + (2 * 8.15) + (1 * 2.52) + (15 * 7.41) / 100
81,2,1,16,81C2H6OSi+2CdO+1B4C+16Gd2O3,2.15545,(81 * 0.965) + (2 * 8.15) + (1 * 2.52) + (16 * 7.41) / 100
80,2,1,17,80C2H6OSi+2CdO+1B4C+17Gd2O3,2.2199,(80 * 0.965) + (2 * 8.15) + (1 * 2.52) + (17 * 7.41) / 100
96,2,2,0,96C2H6OSi+2CdO+2B4C+0Gd2O3,1.1398,(96 * 0.965) + (2 * 8.15) + (2 * 2.52) + (0 * 7.41) / 100
95,2,2,1,95C2H6OSi+2CdO+2B4C+1Gd2O3,1.20425,(95 * 0.965) + (2 * 8.15) + (2 * 2.52) + (1 * 7.41) / 100
94,2,2,2,94C2H6OSi+2CdO+2B4C+2Gd2O3,1.2687,(94 * 0.965) + (2 * 8.15) + (2 * 2.52) + (2 * 7.41) / 100
93,2,2,3,93C2H6OSi+2CdO+2B4C+3Gd2O3,1.33315,(93 * 0.965) + (2 * 8.15) + (2 * 2.52) + (3 * 7.41) / 100
92,2,2,4,92C2H6OSi+2CdO+2B4C+4Gd2O3,1.3976,(92 * 0.965) + (2 * 8.15) + (2 * 2.52) + (4 * 7.41) / 100
91,2,2,5,91C2H6OSi+2CdO+2B4C+5Gd2O3,1.46205,(91 * 0.965) + (2 * 8.15) + (2 * 2.52) + (5 * 7.41) / 100
90,2,2,6,90C2H6OSi+2CdO+2B4C+6Gd2O3,1.5265,(90 * 0.965) + (2 * 8.15) + (2 * 2.52) + (6 * 7.41) / 100
89,2,2,7,89C2H6OSi+2CdO+2B4C+7Gd2O3,1.59095,(89 * 0.965) + (2 * 8.15) + (2 * 2.52) + (7 * 7.41) / 100
88,2,2,8,88C2H6OSi+2CdO+2B4C+8Gd2O3,1.6554,(88 * 0.965) + (2 * 8.15) + (2 * 2.52) + (8 * 7.41) / 100
87,2,2,9,87C2H6OSi+2CdO+2B4C+9Gd2O3,1.71985,(87 * 0.965) + (2 * 8.15) + (2 * 2.52) + (9 * 7.41) / 100
86,2,2,10,86C2H6OSi+2CdO+2B4C+10Gd2O3,1.7843,(86 * 0.965) + (2 * 8.15) + (2 * 2.52) + (10 * 7.41) / 100
85,2,2,11,85C2H6OSi+2CdO+2B4C+11Gd2O3,1.84875,(85 * 0.965) + (2 * 8.15) + (2 * 2.52) + (11 * 7.41) / 100
84,2,2,12,84C2H6OSi+2CdO+2B4C+12Gd2O3,1.9132,(84 * 0.965) + (2 * 8.15) + (2 * 2.52) + (12 * 7.41) / 100
83,2,2,13,83C2H6OSi+2CdO+2B4C+13Gd2O3,1.97765,(83 * 0.965) + (2 * 8.15) + (2 * 2.52) + (13 * 7.41) / 100
82,2,2,14,82C2H6OSi+2CdO+2B4C+14Gd2O3,2.0421,(82 * 0.965) + (2 * 8.15) + (2 * 2.52) + (14 * 7.41) / 100
81,2,2,15,81C2H6OSi+2CdO+2B4C+15Gd2O3,2.10655,(81 * 0.965) + (2 * 8.15) + (2 * 2.52) + (15 * 7.41) / 100
80,2,2,16,80C2H6OSi+2CdO+2B4C+16Gd2O3,2.171,(80 * 0.965) + (2 * 8.15) + (2 * 2.52) + (16 * 7.41) / 100
95,2,3,0,95C2H6OSi+2CdO+3B4C+0Gd2O3,1.15535,(95 * 0.965) + (2 * 8.15) + (3 * 2.52) + (0 * 7.41) / 100
94,2,3,1,94C2H6OSi+2CdO+3B4C+1Gd2O3,1.2198,(94 * 0.965) + (2 * 8.15) + (3 * 2.52) + (1 * 7.41) / 100
93,2,3,2,93C2H6OSi+2CdO+3B4C+2Gd2O3,1.28425,(93 * 0.965) + (2 * 8.15) + (3 * 2.52) + (2 * 7.41) / 100
92,2,3,3,92C2H6OSi+2CdO+3B4C+3Gd2O3,1.3487,(92 * 0.965) + (2 * 8.15) + (3 * 2.52) + (3 * 7.41) / 100
91,2,3,4,91C2H6OSi+2CdO+3B4C+4Gd2O3,1.41315,(91 * 0.965) + (2 * 8.15) + (3 * 2.52) + (4 * 7.41) / 100
90,2,3,5,90C2H6OSi+2CdO+3B4C+5Gd2O3,1.4776,(90 * 0.965) + (2 * 8.15) + (3 * 2.52) + (5 * 7.41) / 100
89,2,3,6,89C2H6OSi+2CdO+3B4C+6Gd2O3,1.54205,(89 * 0.965) + (2 * 8.15) + (3 * 2.52) + (6 * 7.41) / 100
88,2,3,7,88C2H6OSi+2CdO+3B4C+7Gd2O3,1.6065,(88 * 0.965) + (2 * 8.15) + (3 * 2.52) + (7 * 7.41) / 100
87,2,3,8,87C2H6OSi+2CdO+3B4C+8Gd2O3,1.67095,(87 * 0.965) + (2 * 8.15) + (3 * 2.52) + (8 * 7.41) / 100
86,2,3,9,86C2H6OSi+2CdO+3B4C+9Gd2O3,1.7354,(86 * 0.965) + (2 * 8.15) + (3 * 2.52) + (9 * 7.41) / 100
85,2,3,10,85C2H6OSi+2CdO+3B4C+10Gd2O3,1.79985,(85 * 0.965) + (2 * 8.15) + (3 * 2.52) + (10 * 7.41) / 100
84,2,3,11,84C2H6OSi+2CdO+3B4C+11Gd2O3,1.8643,(84 * 0.965) + (2 * 8.15) + (3 * 2.52) + (11 * 7.41) / 100
83,2,3,12,83C2H6OSi+2CdO+3B4C+12Gd2O3,1.92875,(83 * 0.965) + (2 * 8.15) + (3 * 2.52) + (12 * 7.41) / 100
82,2,3,13,82C2H6OSi+2CdO+3B4C+13Gd2O3,1.9932,(82 * 0.965) + (2 * 8.15) + (3 * 2.52) + (13 * 7.41) / 100
81,2,3,14,81C2H6OSi+2CdO+3B4C+14Gd2O3,2.05765,(81 * 0.965) + (2 * 8.15) + (3 * 2.52) + (14 * 7.41) / 100
80,2,3,15,80C2H6OSi+2CdO+3B4C+15Gd2O3,2.1221,(80 * 0.965) + (2 * 8.15) + (3 * 2.52) + (15 * 7.41) / 100
94,2,4,0,94C2H6OSi+2CdO+4B4C+0Gd2O3,1.1709,(94 * 0.965) + (2 * 8.15) + (4 * 2.52) + (0 * 7.41) / 100
93,2,4,1,93C2H6OSi+2CdO+4B4C+1Gd2O3,1.23535,(93 * 0.965) + (2 * 8.15) + (4 * 2.52) + (1 * 7.41) / 100
92,2,4,2,92C2H6OSi+2CdO+4B4C+2Gd2O3,1.2998,(92 * 0.965) + (2 * 8.15) + (4 * 2.52) + (2 * 7.41) / 100
91,2,4,3,91C2H6OSi+2CdO+4B4C+3Gd2O3,1.36425,(91 * 0.965) + (2 * 8.15) + (4 * 2.52) + (3 * 7.41) / 100
90,2,4,4,90C2H6OSi+2CdO+4B4C+4Gd2O3,1.4287,(90 * 0.965) + (2 * 8.15) + (4 * 2.52) + (4 * 7.41) / 100
89,2,4,5,89C2H6OSi+2CdO+4B4C+5Gd2O3,1.49315,(89 * 0.965) + (2 * 8.15) + (4 * 2.52) + (5 * 7.41) / 100
88,2,4,6,88C2H6OSi+2CdO+4B4C+6Gd2O3,1.5576,(88 * 0.965) + (2 * 8.15) + (4 * 2.52) + (6 * 7.41) / 100
87,2,4,7,87C2H6OSi+2CdO+4B4C+7Gd2O3,1.62205,(87 * 0.965) + (2 * 8.15) + (4 * 2.52) + (7 * 7.41) / 100
86,2,4,8,86C2H6OSi+2CdO+4B4C+8Gd2O3,1.6865,(86 * 0.965) + (2 * 8.15) + (4 * 2.52) + (8 * 7.41) / 100
85,2,4,9,85C2H6OSi+2CdO+4B4C+9Gd2O3,1.75095,(85 * 0.965) + (2 * 8.15) + (4 * 2.52) + (9 * 7.41) / 100
84,2,4,10,84C2H6OSi+2CdO+4B4C+10Gd2O3,1.8154,(84 * 0.965) + (2 * 8.15) + (4 * 2.52) + (10 * 7.41) / 100
83,2,4,11,83C2H6OSi+2CdO+4B4C+11Gd2O3,1.87985,(83 * 0.965) + (2 * 8.15) + (4 * 2.52) + (11 * 7.41) / 100
82,2,4,12,82C2H6OSi+2CdO+4B4C+12Gd2O3,1.9443,(82 * 0.965) + (2 * 8.15) + (4 * 2.52) + (12 * 7.41) / 100
81,2,4,13,81C2H6OSi+2CdO+4B4C+13Gd2O3,2.00875,(81 * 0.965) + (2 * 8.15) + (4 * 2.52) + (13 * 7.41) / 100
80,2,4,14,80C2H6OSi+2CdO+4B4C+14Gd2O3,2.0732,(80 * 0.965) + (2 * 8.15) + (4 * 2.52) + (14 * 7.41) / 100
93,2,5,0,93C2H6OSi+2CdO+5B4C+0Gd2O3,1.18645,(93 * 0.965) + (2 * 8.15) + (5 * 2.52) + (0 * 7.41) / 100
92,2,5,1,92C2H6OSi+2CdO+5B4C+1Gd2O3,1.2509,(92 * 0.965) + (2 * 8.15) + (5 * 2.52) + (1 * 7.41) / 100
91,2,5,2,91C2H6OSi+2CdO+5B4C+2Gd2O3,1.31535,(91 * 0.965) + (2 * 8.15) + (5 * 2.52) + (2 * 7.41) / 100
90,2,5,3,90C2H6OSi+2CdO+5B4C+3Gd2O3,1.3798,(90 * 0.965) + (2 * 8.15) + (5 * 2.52) + (3 * 7.41) / 100
89,2,5,4,89C2H6OSi+2CdO+5B4C+4Gd2O3,1.44425,(89 * 0.965) + (2 * 8.15) + (5 * 2.52) + (4 * 7.41) / 100
88,2,5,5,88C2H6OSi+2CdO+5B4C+5Gd2O3,1.5087,(88 * 0.965) + (2 * 8.15) + (5 * 2.52) + (5 * 7.41) / 100
87,2,5,6,87C2H6OSi+2CdO+5B4C+6Gd2O3,1.57315,(87 * 0.965) + (2 * 8.15) + (5 * 2.52) + (6 * 7.41) / 100
86,2,5,7,86C2H6OSi+2CdO+5B4C+7Gd2O3,1.6376,(86 * 0.965) + (2 * 8.15) + (5 * 2.52) + (7 * 7.41) / 100
85,2,5,8,85C2H6OSi+2CdO+5B4C+8Gd2O3,1.70205,(85 * 0.965) + (2 * 8.15) + (5 * 2.52) + (8 * 7.41) / 100
84,2,5,9,84C2H6OSi+2CdO+5B4C+9Gd2O3,1.7665,(84 * 0.965) + (2 * 8.15) + (5 * 2.52) + (9 * 7.41) / 100
83,2,5,10,83C2H6OSi+2CdO+5B4C+10Gd2O3,1.83095,(83 * 0.965) + (2 * 8.15) + (5 * 2.52) + (10 * 7.41) / 100
82,2,5,11,82C2H6OSi+2CdO+5B4C+11Gd2O3,1.8954,(82 * 0.965) + (2 * 8.15) + (5 * 2.52) + (11 * 7.41) / 100
81,2,5,12,81C2H6OSi+2CdO+5B4C+12Gd2O3,1.95985,(81 * 0.965) + (2 * 8.15) + (5 * 2.52) + (12 * 7.41) / 100
80,2,5,13,80C2H6OSi+2CdO+5B4C+13Gd2O3,2.0243,(80 * 0.965) + (2 * 8.15) + (5 * 2.52) + (13 * 7.41) / 100
92,2,6,0,92C2H6OSi+2CdO+6B4C+0Gd2O3,1.202,(92 * 0.965) + (2 * 8.15) + (6 * 2.52) + (0 * 7.41) / 100
91,2,6,1,91C2H6OSi+2CdO+6B4C+1Gd2O3,1.26645,(91 * 0.965) + (2 * 8.15) + (6 * 2.52) + (1 * 7.41) / 100
90,2,6,2,90C2H6OSi+2CdO+6B4C+2Gd2O3,1.3309,(90 * 0.965) + (2 * 8.15) + (6 * 2.52) + (2 * 7.41) / 100
89,2,6,3,89C2H6OSi+2CdO+6B4C+3Gd2O3,1.39535,(89 * 0.965) + (2 * 8.15) + (6 * 2.52) + (3 * 7.41) / 100
88,2,6,4,88C2H6OSi+2CdO+6B4C+4Gd2O3,1.4598,(88 * 0.965) + (2 * 8.15) + (6 * 2.52) + (4 * 7.41) / 100
87,2,6,5,87C2H6OSi+2CdO+6B4C+5Gd2O3,1.52425,(87 * 0.965) + (2 * 8.15) + (6 * 2.52) + (5 * 7.41) / 100
86,2,6,6,86C2H6OSi+2CdO+6B4C+6Gd2O3,1.5887,(86 * 0.965) + (2 * 8.15) + (6 * 2.52) + (6 * 7.41) / 100
85,2,6,7,85C2H6OSi+2CdO+6B4C+7Gd2O3,1.65315,(85 * 0.965) + (2 * 8.15) + (6 * 2.52) + (7 * 7.41) / 100
84,2,6,8,84C2H6OSi+2CdO+6B4C+8Gd2O3,1.7176,(84 * 0.965) + (2 * 8.15) + (6 * 2.52) + (8 * 7.41) / 100
83,2,6,9,83C2H6OSi+2CdO+6B4C+9Gd2O3,1.78205,(83 * 0.965) + (2 * 8.15) + (6 * 2.52) + (9 * 7.41) / 100
82,2,6,10,82C2H6OSi+2CdO+6B4C+10Gd2O3,1.8465,(82 * 0.965) + (2 * 8.15) + (6 * 2.52) + (10 * 7.41) / 100
81,2,6,11,81C2H6OSi+2CdO+6B4C+11Gd2O3,1.91095,(81 * 0.965) + (2 * 8.15) + (6 * 2.52) + (11 * 7.41) / 100
80,2,6,12,80C2H6OSi+2CdO+6B4C+12Gd2O3,1.9754,(80 * 0.965) + (2 * 8.15) + (6 * 2.52) + (12 * 7.41) / 100
91,2,7,0,91C2H6OSi+2CdO+7B4C+0Gd2O3,1.21755,(91 * 0.965) + (2 * 8.15) + (7 * 2.52) + (0 * 7.41) / 100
90,2,7,1,90C2H6OSi+2CdO+7B4C+1Gd2O3,1.282,(90 * 0.965) + (2 * 8.15) + (7 * 2.52) + (1 * 7.41) / 100
89,2,7,2,89C2H6OSi+2CdO+7B4C+2Gd2O3,1.34645,(89 * 0.965) + (2 * 8.15) + (7 * 2.52) + (2 * 7.41) / 100
88,2,7,3,88C2H6OSi+2CdO+7B4C+3Gd2O3,1.4109,(88 * 0.965) + (2 * 8.15) + (7 * 2.52) + (3 * 7.41) / 100
87,2,7,4,87C2H6OSi+2CdO+7B4C+4Gd2O3,1.47535,(87 * 0.965) + (2 * 8.15) + (7 * 2.52) + (4 * 7.41) / 100
86,2,7,5,86C2H6OSi+2CdO+7B4C+5Gd2O3,1.5398,(86 * 0.965) + (2 * 8.15) + (7 * 2.52) + (5 * 7.41) / 100
85,2,7,6,85C2H6OSi+2CdO+7B4C+6Gd2O3,1.60425,(85 * 0.965) + (2 * 8.15) + (7 * 2.52) + (6 * 7.41) / 100
84,2,7,7,84C2H6OSi+2CdO+7B4C+7Gd2O3,1.6687,(84 * 0.965) + (2 * 8.15) + (7 * 2.52) + (7 * 7.41) / 100
83,2,7,8,83C2H6OSi+2CdO+7B4C+8Gd2O3,1.73315,(83 * 0.965) + (2 * 8.15) + (7 * 2.52) + (8 * 7.41) / 100
82,2,7,9,82C2H6OSi+2CdO+7B4C+9Gd2O3,1.7976,(82 * 0.965) + (2 * 8.15) + (7 * 2.52) + (9 * 7.41) / 100
81,2,7,10,81C2H6OSi+2CdO+7B4C+10Gd2O3,1.86205,(81 * 0.965) + (2 * 8.15) + (7 * 2.52) + (10 * 7.41) / 100
80,2,7,11,80C2H6OSi+2CdO+7B4C+11Gd2O3,1.9265,(80 * 0.965) + (2 * 8.15) + (7 * 2.52) + (11 * 7.41) / 100
90,2,8,0,90C2H6OSi+2CdO+8B4C+0Gd2O3,1.2331,(90 * 0.965) + (2 * 8.15) + (8 * 2.52) + (0 * 7.41) / 100
89,2,8,1,89C2H6OSi+2CdO+8B4C+1Gd2O3,1.29755,(89 * 0.965) + (2 * 8.15) + (8 * 2.52) + (1 * 7.41) / 100
88,2,8,2,88C2H6OSi+2CdO+8B4C+2Gd2O3,1.362,(88 * 0.965) + (2 * 8.15) + (8 * 2.52) + (2 * 7.41) / 100
87,2,8,3,87C2H6OSi+2CdO+8B4C+3Gd2O3,1.42645,(87 * 0.965) + (2 * 8.15) + (8 * 2.52) + (3 * 7.41) / 100
86,2,8,4,86C2H6OSi+2CdO+8B4C+4Gd2O3,1.4909,(86 * 0.965) + (2 * 8.15) + (8 * 2.52) + (4 * 7.41) / 100
85,2,8,5,85C2H6OSi+2CdO+8B4C+5Gd2O3,1.55535,(85 * 0.965) + (2 * 8.15) + (8 * 2.52) + (5 * 7.41) / 100
84,2,8,6,84C2H6OSi+2CdO+8B4C+6Gd2O3,1.6198,(84 * 0.965) + (2 * 8.15) + (8 * 2.52) + (6 * 7.41) / 100
83,2,8,7,83C2H6OSi+2CdO+8B4C+7Gd2O3,1.68425,(83 * 0.965) + (2 * 8.15) + (8 * 2.52) + (7 * 7.41) / 100
82,2,8,8,82C2H6OSi+2CdO+8B4C+8Gd2O3,1.7487,(82 * 0.965) + (2 * 8.15) + (8 * 2.52) + (8 * 7.41) / 100
81,2,8,9,81C2H6OSi+2CdO+8B4C+9Gd2O3,1.81315,(81 * 0.965) + (2 * 8.15) + (8 * 2.52) + (9 * 7.41) / 100
80,2,8,10,80C2H6OSi+2CdO+8B4C+10Gd2O3,1.8776,(80 * 0.965) + (2 * 8.15) + (8 * 2.52) + (10 * 7.41) / 100
89,2,9,0,89C2H6OSi+2CdO+9B4C+0Gd2O3,1.24865,(89 * 0.965) + (2 * 8.15) + (9 * 2.52) + (0 * 7.41) / 100
88,2,9,1,88C2H6OSi+2CdO+9B4C+1Gd2O3,1.3131,(88 * 0.965) + (2 * 8.15) + (9 * 2.52) + (1 * 7.41) / 100
87,2,9,2,87C2H6OSi+2CdO+9B4C+2Gd2O3,1.37755,(87 * 0.965) + (2 * 8.15) + (9 * 2.52) + (2 * 7.41) / 100
86,2,9,3,86C2H6OSi+2CdO+9B4C+3Gd2O3,1.442,(86 * 0.965) + (2 * 8.15) + (9 * 2.52) + (3 * 7.41) / 100
85,2,9,4,85C2H6OSi+2CdO+9B4C+4Gd2O3,1.50645,(85 * 0.965) + (2 * 8.15) + (9 * 2.52) + (4 * 7.41) / 100
84,2,9,5,84C2H6OSi+2CdO+9B4C+5Gd2O3,1.5709,(84 * 0.965) + (2 * 8.15) + (9 * 2.52) + (5 * 7.41) / 100
83,2,9,6,83C2H6OSi+2CdO+9B4C+6Gd2O3,1.63535,(83 * 0.965) + (2 * 8.15) + (9 * 2.52) + (6 * 7.41) / 100
82,2,9,7,82C2H6OSi+2CdO+9B4C+7Gd2O3,1.6998,(82 * 0.965) + (2 * 8.15) + (9 * 2.52) + (7 * 7.41) / 100
81,2,9,8,81C2H6OSi+2CdO+9B4C+8Gd2O3,1.76425,(81 * 0.965) + (2 * 8.15) + (9 * 2.52) + (8 * 7.41) / 100
80,2,9,9,80C2H6OSi+2CdO+9B4C+9Gd2O3,1.8287,(80 * 0.965) + (2 * 8.15) + (9 * 2.52) + (9 * 7.41) / 100
88,2,10,0,88C2H6OSi+2CdO+10B4C+0Gd2O3,1.2642,(88 * 0.965) + (2 * 8.15) + (10 * 2.52) + (0 * 7.41) / 100
87,2,10,1,87C2H6OSi+2CdO+10B4C+1Gd2O3,1.32865,(87 * 0.965) + (2 * 8.15) + (10 * 2.52) + (1 * 7.41) / 100
86,2,10,2,86C2H6OSi+2CdO+10B4C+2Gd2O3,1.3931,(86 * 0.965) + (2 * 8.15) + (10 * 2.52) + (2 * 7.41) / 100
85,2,10,3,85C2H6OSi+2CdO+10B4C+3Gd2O3,1.45755,(85 * 0.965) + (2 * 8.15) + (10 * 2.52) + (3 * 7.41) / 100
84,2,10,4,84C2H6OSi+2CdO+10B4C+4Gd2O3,1.522,(84 * 0.965) + (2 * 8.15) + (10 * 2.52) + (4 * 7.41) / 100
83,2,10,5,83C2H6OSi+2CdO+10B4C+5Gd2O3,1.58645,(83 * 0.965) + (2 * 8.15) + (10 * 2.52) + (5 * 7.41) / 100
82,2,10,6,82C2H6OSi+2CdO+10B4C+6Gd2O3,1.6509,(82 * 0.965) + (2 * 8.15) + (10 * 2.52) + (6 * 7.41) / 100
81,2,10,7,81C2H6OSi+2CdO+10B4C+7Gd2O3,1.71535,(81 * 0.965) + (2 * 8.15) + (10 * 2.52) + (7 * 7.41) / 100
80,2,10,8,80C2H6OSi+2CdO+10B4C+8Gd2O3,1.7798,(80 * 0.965) + (2 * 8.15) + (10 * 2.52) + (8 * 7.41) / 100
87,2,11,0,87C2H6OSi+2CdO+11B4C+0Gd2O3,1.27975,(87 * 0.965) + (2 * 8.15) + (11 * 2.52) + (0 * 7.41) / 100
86,2,11,1,86C2H6OSi+2CdO+11B4C+1Gd2O3,1.3442,(86 * 0.965) + (2 * 8.15) + (11 * 2.52) + (1 * 7.41) / 100
85,2,11,2,85C2H6OSi+2CdO+11B4C+2Gd2O3,1.40865,(85 * 0.965) + (2 * 8.15) + (11 * 2.52) + (2 * 7.41) / 100
84,2,11,3,84C2H6OSi+2CdO+11B4C+3Gd2O3,1.4731,(84 * 0.965) + (2 * 8.15) + (11 * 2.52) + (3 * 7.41) / 100
83,2,11,4,83C2H6OSi+2CdO+11B4C+4Gd2O3,1.53755,(83 * 0.965) + (2 * 8.15) + (11 * 2.52) + (4 * 7.41) / 100
82,2,11,5,82C2H6OSi+2CdO+11B4C+5Gd2O3,1.602,(82 * 0.965) + (2 * 8.15) + (11 * 2.52) + (5 * 7.41) / 100
81,2,11,6,81C2H6OSi+2CdO+11B4C+6Gd2O3,1.66645,(81 * 0.965) + (2 * 8.15) + (11 * 2.52) + (6 * 7.41) / 100
80,2,11,7,80C2H6OSi+2CdO+11B4C+7Gd2O3,1.7309,(80 * 0.965) + (2 * 8.15) + (11 * 2.52) + (7 * 7.41) / 100
86,2,12,0,86C2H6OSi+2CdO+12B4C+0Gd2O3,1.2953,(86 * 0.965) + (2 * 8.15) + (12 * 2.52) + (0 * 7.41) / 100
85,2,12,1,85C2H6OSi+2CdO+12B4C+1Gd2O3,1.35975,(85 * 0.965) + (2 * 8.15) + (12 * 2.52) + (1 * 7.41) / 100
84,2,12,2,84C2H6OSi+2CdO+12B4C+2Gd2O3,1.4242,(84 * 0.965) + (2 * 8.15) + (12 * 2.52) + (2 * 7.41) / 100
83,2,12,3,83C2H6OSi+2CdO+12B4C+3Gd2O3,1.48865,(83 * 0.965) + (2 * 8.15) + (12 * 2.52) + (3 * 7.41) / 100
82,2,12,4,82C2H6OSi+2CdO+12B4C+4Gd2O3,1.5531,(82 * 0.965) + (2 * 8.15) + (12 * 2.52) + (4 * 7.41) / 100
81,2,12,5,81C2H6OSi+2CdO+12B4C+5Gd2O3,1.61755,(81 * 0.965) + (2 * 8.15) + (12 * 2.52) + (5 * 7.41) / 100
80,2,12,6,80C2H6OSi+2CdO+12B4C+6Gd2O3,1.682,(80 * 0.965) + (2 * 8.15) + (12 * 2.52) + (6 * 7.41) / 100
85,2,13,0,85C2H6OSi+2CdO+13B4C+0Gd2O3,1.31085,(85 * 0.965) + (2 * 8.15) + (13 * 2.52) + (0 * 7.41) / 100
